ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;978;978/2022;24/02/2022 09:29;24/02/2022 10:18;24/02/2022;01:00;DE MADRUGADA;24/02/2022;24/02/2022 09:29;Desconhecida;Não;;RODOVIA PRESIDENTE DUTRA (BR 116);159;PARQUE MEIA LUA;JACAREI;SP;-23,2642299;-45,95739864;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;04º D.P. GUARULHOS;03º D.P. JACAREI;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;DTB7D84;MG;ABADIA DOS DOURADOS;Branco;VOLVO/VM 310 4X2T;2007;2007;CAMINHÃO TRATOR;1;Samsung
2022;978;978/2022;24/02/2022 09:29;24/02/2022 10:18;24/02/2022;01:00;DE MADRUGADA;24/02/2022;24/02/2022 09:29;Desconhecida;Não;;RODOVIA PRESIDENTE DUTRA (BR 116);159;PARQUE MEIA LUA;JACAREI;SP;-23,2642299;-45,95739864;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;04º D.P. GUARULHOS;03º D.P. JACAREI;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;GRO9A45;MG;ABADIA DOS DOURADOS;Branco;REB/RANDON SR FD CG;1996;1996;SEMI-REBOQUE;1;Samsung
2022;274;274/2022;24/02/2022 12:26;24/02/2022 12:37;27/01/2022;16:00;A TARDE;24/02/2022;24/02/2022 12:26;Desconhecida;Não;;PRAÇA PRIMAVERA;1;JARDIM MOTORAMA;S.JOSE DOS CAMPOS;SP;-23,17222752;-45,82466158;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;06º D.P. S.JOSE DOS CAMPOS;06º D.P. S.JOSE DOS CAMPOS;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - TRANSEUNTE;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;1;SAMSUNG
2022;426941;426941/2022;24/02/2022 12:43;24/02/2022 12:43;24/02/2022;11:20;PELA MANHÃ;24/02/2022;24/02/2022 12:43;Desconhecida;Não;;AVENIDA THEREZA ALBINO CHACON;840;PONTAL DE SANTA MARINA;CARAGUATATUBA;SP;;;Via Pública;;BO PARA REGISTRO;DELEGACIA ELETRONICA;01º D.P. CARAGUATATUBA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - OUTROS;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;SAMSUNG
2022;427981;427981/2022;24/02/2022 14:04;24/02/2022 14:05;24/02/2022;11:30;PELA MANHÃ;24/02/2022;24/02/2022 14:04;Desconhecida;Não;;RUA MONTE PASCHOAL;200;JARDIM ALTOS DE SANTANA;S.JOSE DOS CAMPOS;SP;-23,1667986;-45,90933134;Via Pública;;BO PARA REGISTRO;DELEGACIA ELETRONICA;04º D.P. S.JOSE DOS CAMPOS;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - OUTROS;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;LG
2022;189;189/2022;24/02/2022 12:00;24/02/2022 14:59;23/02/2022;19:00;A NOITE;24/02/2022;24/02/2022 12:00;Desconhecida;Não;;ESTRADA municipal jose andrade filho;4350;RURAL;TREMEMBE;SP;-22,9338146;-45,59406001;Unidade rural;IC;APRECIAÇÃO DO DELEGADO TITULAR;DEL.POL.TREMEMBE;DEL.POL.TREMEMBE;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - RESIDENCIA;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;1;Samsung
2022;189;189/2022;24/02/2022 12:00;24/02/2022 14:59;23/02/2022;19:00;A NOITE;24/02/2022;24/02/2022 12:00;Desconhecida;Não;;ESTRADA municipal jose andrade filho;4350;RURAL;TREMEMBE;SP;-22,9338146;-45,59406001;Unidade rural;IC;APRECIAÇÃO DO DELEGADO TITULAR;DEL.POL.TREMEMBE;DEL.POL.TREMEMBE;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - RESIDENCIA;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;1;Xiaomi
2022;115;115/2022;24/02/2022 23:28;24/02/2022 23:43;24/02/2022;21:30;A NOITE;24/02/2022;24/02/2022 23:28;Desconhecida;Não;;AVENIDA ABEL CORRÊA GUIMARÃES;1225;VILA RICA;PINDAMONHANGABA;SP;-22,93719818;-45,47704686;Via pública;;BO PARA INVESTIGAÇÃO;DEL.POL.PLANTÃO PINDA;DEL.POL.PINDAMONHANGABA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - TRANSEUNTE;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;1;Apple
2022;172;172/2022;24/02/2022 23:21;24/02/2022 23:47;24/02/2022;20:20;A NOITE;24/02/2022;24/02/2022 23:21;Desconhecida;Não;;AVENIDA AGENOR PÍRES FONÓGRAFO;1000;JARDIM DO VALE;GUARATINGUETA;SP;-22,78148417;-45,18131118;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;DEL.SEC.GUARATINGUETA PLANTÃO;02º D.P. GUARATINGUETA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - TRANSEUNTE;caput. Subtrair coisa móvel alheia, mediante grave ameaça ou violência a pessoa;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;1;Xiaomi
2022;1532;1532/2022;24/02/2022 22:54;25/02/2022 00:14;24/02/2022;21:00;A NOITE;24/02/2022;24/02/2022 22:54;Desconhecida;Não;;AVENIDA ARNALDO FELIPE SBRUZZI;15;BONFIM;TAUBATE;SP;-23,03624763;-45,60608127;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;DEL.SEC.TAUBATE PLANTÃO;04º D.P. TAUBATE;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FMD5543;SP;TAUBATE;Branco;VW/FOX 1.0 GII;2013;2014;AUTOMOVEL;1;Motorola
